Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
ThingDef&KokuAdvancedBionicBladder.label	advanced bionic bladder		Fortgeschrittene bionische Blase		Zaawansowany bioniczny pęcherz							Продвинутый бионический мочевой пузырь	Покращений біонічний сечовий міхур											Bexiga biónica avançada					
ThingDef&KokuAdvancedBionicBladder.description	Bladder replacement made out of plasteel and silver. \nA chemical recycling system breaks down waste products from the body into molecules which are recycled with the remainder released as gas, the downside of this being that it gives the user gas.		Ersatzblase aus Superstahl und Silber mit Uranzusatz. \nDas chemische Recycling-System zerlegt die Stoffwechselprodukte des Körpers in Moleküle, die recycelt werden, während der Rest als Gas freigesetzt wird. Nachteil ist, dass es Gas für den Nutzer absondert.		Zamiennik pęcherza wykonane z superstali i srebra z dodatkiem uranu. \nSystem recyklingu chemicznego rozkłada produkty przemiany materii z organizmu na cząsteczki, które są poddawane recyklingowi, a pozostała część jest uwalniana w postaci gazu, czego wadą jest to, że wydziela on gaz dla użytkownika.							Замена мочевого пузыря, выполненная из суперстали и серебра с добавлением урана. \nСистема химической переработки разлагает продукты обмена веществ организма на молекулы, которые подвергаются переработке, а оставшаяся часть выделяется в виде газа, что имеет недостаток в том, что выделяется газ для пользователя.	Замінник сечового міхура, виконаний з суперсталі та срібла з додаванням урану. \nСистема хімічної переробки розкладає продукти обміну речовин з організму на молекули, які підлягають переробці, а залишок вивільняється у вигляді газу, недоліком є те, що вона виділяє газ для користувача.											Substituto da bexiga feito de superliga e prata com adição de urânio. \nO sistema de reciclagem química decompõe os produtos do metabolismo do corpo em moléculas que são recicladas, enquanto a parte restante é liberada na forma de gás, cuja desvantagem é que ele emite gás para o usuário.					
ThingDef&KokuAdvancedHygieneEnhancer.label	advanced hygiene enhancer		Fortgeschrittenes bionisches Hygieneverbesserungsmittel		Zaawansowany bioniczny środek poprawiający higienę							Продвинутое бионическое средство для улучшения гигиены	Покращений біонічний засіб для покращення гігієни											Melhorador de higiene biónico avançado					
ThingDef&KokuAdvancedHygieneEnhancer.description	Hygiene enhancer made out of plasteel and silver. \nReleases advanced mechanites that break down dead skin cells and other detritus on the skin and hair releasing it harmlessly into the air.		Hygieneverbesserungsmittel aus Superstahl und Silber mit Uranzusatz. \nSetzt fortgeschrittene Mechanismen frei, die abgestorbene Hautzellen und andere Verunreinigungen auf der Haut und den Haaren zerlegen und sie unschädlich in die Luft abgeben.									Средство для улучшения гигиены, выполненное из суперстали и серебра с добавлением урана. \nОсвобождает продвинутые механиты, которые разлагают мертвые клетки кожи и другие загрязнения на коже и волосах, безопасно выбрасывая их в воздух.	Засіб для покращення гігієни, виконаний з суперсталі та срібла з додаванням урану. \nВивільняє покращені механіти, які розкладають мертві клітини шкіри та інші забруднення на шкірі та волоссі, вивільняючи їх безпечним чином в атмосферу.											Melhorador de higiene feito de superliga e prata com adição de urânio. \nLibera mecanites avançadas que decompõem células mortas da pele e outras impurezas na pele e nos cabelos, liberando-as de forma inofensiva no ar.					
ThingDef&KokuUltraBionicBladder.label	ultra bionic bladder		Ultra bionische Blase		Ultra bioniczny pęcherz							Ультра бионический мочевой пузырь	Ультра біонічний сечовий міхур											Ultra bexiga biónica					
ThingDef&KokuUltraBionicBladder.description	Bladder replacement made out of plasteel and silver enhanced with uranium. \nA chemical recycling system breaks down waste products from the body into molecules which are recycled with the remainder released as gas, the downside of this being that it gives the user gas.		Ersatzblase aus Superstahl und Silber mit Uranzusatz. \nDas chemische Recycling-System zerlegt die Stoffwechselprodukte des Körpers in Moleküle, die recycelt werden, während der Rest als Gas freigesetzt wird. Nachteil ist, dass es Gas für den Nutzer absondert.		Zamiennik pęcherza wykonane z superstali i srebra z dodatkiem uranu. \nSystem recyklingu chemicznego rozkłada produkty przemiany materii z organizmu na cząsteczki, które są poddawane recyklingowi, a pozostała część jest uwalniana w postaci gazu, czego wadą jest to, że wydziela on gaz dla użytkownika.							Замена мочевого пузыря, выполненная из суперстали и серебра с добавлением урана. \nСистема химической переработки разлагает продукты обмена веществ организма на молекулы, которые подвергаются переработке, а оставшаяся часть выделяется в виде газа, что имеет недостаток в том, что выделяется газ для пользователя.	Замінник сечового міхура, виконаний з суперсталі та срібла з додаванням урану. \nСистема хімічної переробки розкладає продукти обміну речовин з організму на молекули, які підлягають переробці, а залишок вивільняється у вигляді газу, недоліком є те, що вона виділяє газ для користувача.											Substituto da bexiga feito de superliga e prata com adição de urânio. \nO sistema de reciclagem química decompõe os produtos do metabolismo do corpo em moléculas que são recicladas, enquanto a parte restante é liberada na forma de gás, cuja desvantagem é que ele emite gás para o usuário.					
ThingDef&KokuUltraHygieneEnhancer.label	ultra hygiene enhancer		Ultra bionisches Hygieneverbesserungsmittel		Ultra bioniczny środek poprawiający higienę							Ультра бионическое средство для улучшения гигиены	Ультра біонічний засіб для покращення гігієни											Ultra melhorador de higiene biónico					
ThingDef&KokuUltraHygieneEnhancer.description	Hygiene enhancer made out of plasteel and silver enhanced with uranium. \nReleases ultra mechanites that break down dead skin cells and other detritus on the skin and hair releasing it harmlessly into the air.		Hygieneverbesserungsmittel aus Superstahl und Silber mit Uranzusatz. \nSetzt Ultra-Mechanismen frei, die abgestorbene Hautzellen und andere Verunreinigungen auf der Haut und den Haaren zerlegen und sie unschädlich in die Luft abgeben.									Средство для улучшения гигиены, выполненное из суперстали и серебра с добавлением урана. \nОсвобождает ультрамеханиты, которые разлагают мертвые клетки кожи и другие загрязнения на коже и волосах, безопасно выбрасывая их в воздух.	Засіб для покращення гігієни, виконаний з суперсталі та срібла з додаванням урану. \nВивільняє ультрамеханіти, які розкладають мертві клітини шкіри та інші забруднення на шкірі та волоссі, вивільняючи їх безпечним чином в атмосферу.											Melhorador de higiene feito de superliga e prata com adição de urânio. \nLibera ultramecanites que decompõem células mortas da pele e outras impurezas na pele e nos cabelos, liberando-as de forma inofensiva no ar.					
ThingDef&KokuArtificialSpleen.label	artificial spleen		Künstliche Milz		Sztuczna śledziona							Искусственная селезенка	Штучна селезінка											Baço artificial					
ThingDef&KokuArtificialSpleen.description	Spleen replacement made out of plasteel. \nMakes a loud noise.		Ersatzmilz aus Superstahl. \nGibt ein lautes Geräusch von sich.		Zamiennik śledziony wykonane z superstali. \nWydaje głośny dźwięk.							Замена селезенки, выполненная из суперстали. \nИздает громкий звук.	Замінник селезінки, виконаний з суперсталі. \nВиділяє гучний звук.											Substituto do baço feito de super-aço. \nEmite um som alto.					
ThingDef&KokuArtificialPancreas.label	artificial pancreas		Künstliche Bauchspeicheldrüse		Sztuczna trzustka							Искусственная поджелудочная железа	Штучна підшлункова залоза											Pâncreas artificial					
ThingDef&KokuArtificialPancreas.description	Pancreas replacement made out of plasteel. \nMakes a loud noise.		Ersatzbauchspeicheldrüse aus Superstahl. \nGibt ein lautes Geräusch von sich.		Zamiennik trzustki wykonane z superstali. \nWydaje głośny dźwięk.							Замена поджелудочной железы, выполненная из суперстали. \nИздает громкий звук.	Замінник підшлункової залози, виконаний з суперсталі. \nВиділяє гучний звук.											Substituto do pâncreas feito de super-aço. \nEmite um som alto.					
ThingDef&KokuArtificialGallbladder.label	artificial gallbladder		Künstlicher Gallenblase		Sztuczny pęcherzyk żółciowy							Искусственный желчный пузырь	Штучний жовчний міхур											Bexiga biliar artificial					
ThingDef&KokuArtificialGallbladder.description	Gallbladder replacement made out of plasteel. \nMakes a loud noise.		Ersatzgallenblase aus Superstahl. \nGibt ein lautes Geräusch von sich.		Zamiennik pęcherzyka żółciowego wykonane z superstali. \nWydaje głośny dźwięk.							Замена желчного пузыря, выполненная из суперстали. \nИздает громкий звук.	Замінник жовчного міхура, виконаний з суперсталі. \nВиділяє гучний звук.											Substituto da bexiga biliar feito de super-aço. \nEmite um som alto.					
ThingDef&KokuSyntheticSpleen.label	synthetic spleen		Synthetische Milz		Syntetyczna śledziona							Синтетическая селезенка	Синтетична селезінка											Baço sintético					
ThingDef&KokuSyntheticSpleen.description	Spleen replacement made out of plasteel and Silver. \nMakes a quiet noise.		Ersatzmilz aus Superstahl und Silber. \nGibt ein leises Geräusch von sich.		Zamiennik śledziony wykonane z superstali i srebra. \nWydaje cichy dźwięk.							Замена селезенки, выполненная из суперстали и серебра. \nИздает тихий звук.	Замінник селезінки, виконаний з суперсталі та срібла. \nВиділяє тихий звук.											Substituto do baço feito de super-aço e prata. \nEmite um som baixo.					
ThingDef&KokuSyntheticPancreas.label	synthetic pancreas		Synthetische Bauchspeicheldrüse		Syntetyczna trzustka							Синтетическая поджелудочная железа	Синтетична підшлункова залоза											Pâncreas sintético					
ThingDef&KokuSyntheticPancreas.description	Pancreas replacement made out of plasteel and Silver. \nMakes a quiet noise.		Ersatzbauchspeicheldrüse aus Superstahl und Silber. \nGibt ein leises Geräusch von sich.		Zamiennik trzustki wykonane z superstali i srebra. \nWydaje cichy dźwięk.							Замена поджелудочной железы, выполненная из суперстали и серебра. \nИздает тихий звук.	Замінник підшлункової залози, виконаний з суперсталі та срібла. \nВиділяє тихий звук.											Substituto do pâncreas feito de super-aço e prata. \nEmite um som baixo.					
ThingDef&KokuSyntheticGallbladder.label	synthetic gallbladder		Synthetische Gallenblase		Syntetyczny pęcherzyk żółciowy							Синтетический желчный пузырь	Синтетичний жовчний міхур											Bexiga biliar sintética					
ThingDef&KokuSyntheticGallbladder.description	Gallbladder replacement made out of plasteel and Silver. \nMakes a quiet noise.		Ersatzgallenblase aus Superstahl und Silber. \nGibt ein leises Geräusch von sich.		Zamiennik pęcherzyka żółciowego wykonane z superstali i srebra. \nWydaje cichy dźwięk.							Замена желчного пузыря, выполненная из суперстали и серебра. \nИздает тихий звук.	Замінник жовчного міхура, виконаний з суперсталі та срібла. \nВиділяє тихий звук.											Substituto da bexiga biliar feito de super-aço e prata. \nEmite um som baixo.					
ThingDef&KokuUltraSpleen.label	ultra spleen		Ultra-Milz		Ultra śledziona							Ультра селезенка	Ультра селезінка											Ultra baço					
ThingDef&KokuUltraSpleen.description	Spleen replacement made out of plasteel and silver enhanced with uranium. \nMakes a no noise.		Ersatzmilz aus Superstahl und Silber mit Uranzusatz. \nGibt kein Geräusch von sich.		Zamiennik śledziony wykonane z superstali i srebra z dodatkiem uranu. \nNie wydaje żadnego dźwięku.							Замена селезенки, выполненная из суперстали и серебра с добавлением урана. \nНе издает никаких звуков.	Замінник селезінки, виконаний з суперсталі та срібла з додаванням урану. \nНе видає жодного звуку.											Substituto do baço feito de super-aço e prata com adição de urânio. \nNão emite som algum.					
ThingDef&KokuUltraPancreas.label	ultra pancreas		Ultra-Bauchspeicheldrüse		Ultra trzustka							Ультра поджелудочная железа	Ультра підшлункова залоза											Ultra pâncreas					
ThingDef&KokuUltraPancreas.description	Pancreas replacement made out of plasteel and silver enhanced with uranium. \nMakes a no noise.		Ersatzbauchspeicheldrüse aus Superstahl und Silber mit Uranzusatz. \nGibt kein Geräusch von sich.		Zamiennik trzustki wykonane z superstali i srebra z dodatkiem uranu. \nNie wydaje żadnego dźwięku.							Замена поджелудочной железы, выполненная из суперстали и серебра с добавлением урана. \nНе издает никаких звуков.	Замінник підшлункової залози, виконаний з суперсталі та срібла з додаванням урану. \nНе видає жодного звуку.											Substituto do pâncreas feito de super-aço e prata com adição de urânio. \nNão emite som algum.					
ThingDef&KokuUltraGallbladder.label	ultra gallbladder		Ultra-Gallenblase		Ultra pęcherzyk żółciowy							Ультра желчный пузырь	Ультра жовчний міхур											Ultra bexiga biliar					
ThingDef&KokuUltraGallbladder.description	Gallbladder replacement made out of plasteel and silver enhanced with uranium. \nMakes a no noise.		Ersatzgallenblase aus Superstahl und Silber mit Uranzusatz. \nGibt kein Geräusch von sich.		Zamiennik pęcherzyka żółciowego wykonane z superstali i srebra z dodatkiem uranu. \nNie wydaje żadnego dźwięku.							Замена желчного пузыря, выполненная из суперстали и серебра с добавлением урана. \nНе издает никаких звуков.	Замінник жовчного міхура, виконаний з суперсталі та срібла з додаванням урану. \nНе видає жодного звуку.											Substituto da bexiga biliar feito de super-aço e prata com adição de urânio. \nNão emite som algum.					
ThingDef&KokuHydraulicWing.label	artificial wing		Hydraulischer Flügel		Hydrauliczne skrzydło							Гидравлическое крыло	Гідравлічне крило											Asa Hidráulica					
ThingDef&KokuHydraulicWing.description	Wing replacement made out of steel.		Flügelersatz aus Stahl.		Zamiennik skrzydła wykonane ze stali.							Замена крыла, выполненная из стали.	Замінник крила, виготовлений з сталі.											Substituto da asa feito de aço.					
ThingDef&KokuHydraulicAntenna.label	artificial antenna		Hydraulische Antenne		Hydrauliczna antenka							Гидравлическая антенна	Гідравлічна антена											Antenna Hidráulica					
ThingDef&KokuHydraulicAntenna.description	Antenna replacement made out of steel.		Antenneersatz aus Stahl.		Zamiennik antenki wykonane ze stali.							Замена антенны, выполненная из стали.	Замінник антени, виготовлений зі сталі.											Substituto da antena feito de aço.					
ThingDef&KokuHydraulicTail.label	artificial tail		Hydraulischer Schwanz		Hydrauliczny ogon							Гидравлический хвост	Гідравлічний хвіст											Cauda Hidráulica					
ThingDef&KokuHydraulicTail.description	Tail replacement made out of steel.		Schwanzersatz aus Stahl.		Zamiennik ogona wykonane ze stali.							Замена хвоста, выполненная из стали.	Замінник хвоста, виготовлений зі сталі.											Substituto da cauda feito de aço.					
ThingDef&KokuArtificialHoneyStomach.label	artificial honey stomach		Synthetischer Honigmagen		Sztuczny miodowy żołądek							Искусственный медовый желудок	Штучний медовий шлунок											Estômago Artificial de Mel					
ThingDef&KokuArtificialHoneyStomach.description	Honey stomach replacement made out of steel.		Honigmagenersatz aus Superstahl.		Zamiennik miodowego żołądka wykonane z superstali.							Замена медового желудка, выполненная из суперстали.	Замінник медового шлунка, виготовлений з суперсталі.											Substituto do estômago de mel feito de superliga.					
ThingDef&KokuBionicWing.label	bionic wing		Bionischer Flügel		Bioniczne skrzydło							Бионическое крыло	Біонічне крило											Asa Biónica					
ThingDef&KokuBionicWing.description	Wing replacement made out of plasteel.		Flügelersatz aus Superstahl.		Zamiennik skrzydła wykonane z superstali.							Замена крыла, выполненная из суперстали.	Замінник крила, виготовлений з суперсталі.											Substituto da asa feito de superliga.					
ThingDef&KokuBionicAntenna.label	bionic antenna		Bionische Antenne		Bioniczna antenka							Бионическая антенна	Біонічна антена											Antenna Biónica					
ThingDef&KokuBionicAntenna.description	Antenna replacement made out of plasteel.		Antenneersatz aus Superstahl.		Zamiennik antenki wykonane z superstali.							Замена антенны, выполненная из суперстали.	Замінник антени, виготовлений з суперсталі.											Substituto da antena feito de superliga.					
ThingDef&KokuBionicAbdomen.label	bionic abdomen		Bionischer Bauch		Bioniczny odwłok							Бионический живот	Біонічний черевний відділ											Abdômen Biónico					
ThingDef&KokuBionicAbdomen.description	Abdomen replacement made out of plasteel.		Bauchersatz aus Superstahl.		Zamiennik odwłoku wykonane z superstali.							Замена живота, выполненная из суперстали.	Замінник черевного відділу, виготовлений з суперсталі.											Substituto do abdômen feito de superliga.					
ThingDef&KokuBionicTail.label	bionic tail		Bionischer Schwanz		Bioniczny ogon							Бионический хвост	Біонічний хвіст											Cauda Biónica					
ThingDef&KokuBionicTail.description	Tail replacement made out of plasteel.		Schwanzersatz aus Superstahl.		Zamiennik ogona wykonane z superstali.							Замена хвоста, выполненная из суперстали.	Замінник хвоста, виготовлений з суперсталі.											Substituto da cauda feito de superliga.					
ThingDef&KokuAdvancedBionicWing.label	advanced bionic wing		Fortgeschrittener bionischer Flügel		Zaawansowane bioniczne skrzydło							Продвинутое бионическое крыло	Просунуте біонічне крило											Asa Biónica Avançada					
ThingDef&KokuAdvancedBionicWing.description	Wing replacement made out of plasteel and silver.		Flügelersatz aus Superstahl und Silber.		Zamiennik skrzydła wykonane z superstali i srebra.							Замена крыла, выполненная из суперстали и серебра.	Замінник крила, виготовлений з суперсталі та срібла.											Substituto da asa feito de superliga e prata.					
ThingDef&KokuAdvancedBionicAntenna.label	advanced bionic antenna		Fortgeschrittene bionische Antenne		Zaawansowana bioniczna antenka							Продвинутая бионическая антенна	Просунута біонічна антена											Antenna Biónica Avançada					
ThingDef&KokuAdvancedBionicAntenna.description	Antenna replacement made out of plasteel and silver.		Antenneersatz aus Superstahl und Silber.		Zamiennik antenki wykonane z superstali i srebra.							Замена антенны, выполненная из суперстали и серебра.	Замінник антени, виготовлений з суперсталі та срібла.											Substituto da antena feito de superliga e prata.					
ThingDef&KokuAdvancedBionicAbdomen.label	advanced bionic abdomen		Fortgeschrittener bionischer Bauch		Zaawansowany bioniczny odwłok							Продвинутый бионический живот	Просунутий біонічний черевний відділ											Abdômen Biónico Avançado					
ThingDef&KokuAdvancedBionicAbdomen.description	Abdomen replacement made out of plasteel and silver.		Herzersatz aus Superstahl und Silber.		Zamiennik serca wykonane z superstali i srebra.							Замена сердца, выполненная из суперстали и серебра.	Замінник серця, виготовлений з суперсталі та срібла.											Substituto do coração feito de superliga e prata.					
ThingDef&KokuAdvancedBionicTail.label	advanced bionic tail		Fortgeschrittener bionischer Schwanz		Zaawansowany bioniczny ogon							Продвинутый бионический хвост	Просунутий біонічний хвіст											Cauda Biónica Avançada					
ThingDef&KokuAdvancedBionicTail.description	Tail replacement made out of plasteel and silver.		Schwanzersatz aus Superstahl und Silber.		Zamiennik ogona wykonane z superstali i srebra.							Замена хвоста, выполненная из суперстали и серебра.	Замінник хвоста, виготовлений з суперсталі та срібла.											Substituto da cauda feito de superliga e prata.					
ThingDef&KokuSyntheticHoneyStomach.label	synthetic honey stomach		Synthetischer Honigmagen		Syntetyczny miodowy żołądek							Синтетический медовый желудок	Синтетичний медовий шлунок											Estômago Sintético de Mel					
ThingDef&KokuSyntheticHoneyStomach.description	Honey stomach replacement made out of plasteel and silver.		Honigmagenersatz aus Superstahl und Silber.		Zamiennik miodowego żołądka wykonane z superstali i srebra.							Замена медового желудка, выполненная из суперстали и серебра.	Замінник медового шлунка, виготовлений з суперсталі та срібла.											Substituto do estômago de mel feito de superliga e prata.					
ThingDef&KokuUltraBionicWing.label	ultra bionic wing		Ultra bionischer Flügel		Ultra bioniczne skrzydło							Ультра бионическое крыло	Ультра біонічне крило											Ultra Asa Biónica					
ThingDef&KokuUltraBionicWing.description	Wing replacement made out of plasteel and silver enhanced with uranium.		Flügelersatz aus Superstahl und Silber mit Uranzusatz.		Zamiennik skrzydła wykonane z superstali i srebra z dodatkiem uranu.							Замена крыла, выполненная из суперстали и серебра с добавлением урана.	Замінник крила, виготовлений з суперсталі та срібла з добавкою урану.											Substituto da asa feito de superliga e prata com adição de urânio.					
ThingDef&KokuUltraBionicAntenna.label	ultra bionic antenna		Ultra bionische Antenne		Ultra bioniczna antenka							Ультра бионическая антенна	Ультра біонічна антена											Ultra Antenna Biónica					
ThingDef&KokuUltraBionicAntenna.description	Antenna replacement made out of plasteel and silver enhanced with uranium.		Antenneersatz aus Superstahl und Silber mit Uranzusatz.		Zamiennik antenki wykonane z superstali i srebra z dodatkiem uranu.							Замена антенны, выполненная из суперстали и серебра с добавлением урана.	Замінник антени, виготовлений з суперсталі та срібла з добавкою урану.											Substituto da antena feito de superliga e prata com adição de urânio.					
ThingDef&KokuUltraBionicAbdomen.label	ultra bionic abdomen		Ultra bionischer Bauch		Ultra bioniczny odwłok							Ультра бионический живот	Ультра біонічний черевний відділ											Ultra Abdômen Biónico					
ThingDef&KokuUltraBionicAbdomen.description	Abdomen replacement made out of plasteel and silver enhanced with uranium.		Herzersatz aus Superstahl und Silber mit Uranzusatz.		Zamiennik serca wykonane z superstali i srebra z dodatkiem uranu.							Замена сердца, выполненная из суперстали и серебра с добавлением урана.	Замінник серця, виготовлений з суперсталі та срібла з добавкою урану.											Substituto do coração feito de superliga e prata com adição de urânio.					
ThingDef&KokuUltraBionicTail.label	ultra bionic tail		Ultra bionischer Schwanz		Ultra bioniczny ogon							Ультра бионический хвост	Ультра біонічний хвіст											Ultra Cauda Biónica					
ThingDef&KokuUltraBionicTail.description	Tail replacement made out of plasteel and silver enhanced with uranium.		Schwanzersatz aus Superstahl und Silber mit Uranzusatz.		Zamiennik ogona wykonane z superstali i srebra z dodatkiem uranu.							Замена хвоста, выполненная из суперстали и серебра с добавлением урана.	Замінник хвоста, виготовлений з суперсталі та срібла з добавкою урану.											Substituto da cauda feito de superliga e prata com adição de urânio.					
ThingDef&KokuUltraHoneyStomach.label	ultra honey stomach		Ultra Honigmagen		Ultra miodowy żołądek							Ультра медовый желудок	Ультра медовий шлунок											Ultra Estômago de Mel					
ThingDef&KokuUltraHoneyStomach.description	Honey stomach replacement made out of plasteel and silver enhanced with uranium.		Honigmagenersatz aus Superstahl und Silber mit Uranzusatz.		Zamiennik miodowego żołądka wykonane z superstali i srebra z dodatkiem uranu.							Замена медового желудка, выполненная из суперстали и серебра с добавлением урана.	Замінник медового шлунка, виготовлений з суперсталі та срібла з добавкою урану.											Substituto do estômago de mel feito de superliga e prata com adição de urânio.					
ThoughtDef&KokuDruggedSternumThought.stages.0.label	Drugged sternum		Narkotisierendes Brustbein		Narkotyzujący mostek							Наркотизирующая грудина	Наркотизуючий грудина											Esterno Anestésico					
ThoughtDef&KokuDruggedSternumThought.stages.0.description	Uuuu this makes me relaxed!		Uuu, das entspannt mich.		Uuu to mnie relaksuje							Ууу, это меня расслабляет	Ух, це мене розслабляє											Uau, isso me relaxa					
ThoughtDef&KokuAdvancedDruggedSternumThought.stages.0.label	Advanced drugged sternum		Fortgeschrittenes narkotisierendes Brustbein		Zaawansowany narkotyzujący mostek							Продвинутая наркотизирующая грудина	Просунутий наркотизуючий грудина											Esterno Anestésico Avançado					
ThoughtDef&KokuAdvancedDruggedSternumThought.stages.0.description	Uuuu this makes me really relaxed!		Uuu, das entspannt mich wirklich.		Uuu to mnie naprawde relaksuje							Ууу, это меня действительно расслабляет	Ух, це мене дійсно розслабляє											Uau, isso realmente me relaxa					
ThoughtDef&KokuUltraDruggedSternumThought.stages.0.label	Ultra drugged sternum		Ultra narkotisierendes Brustbein		Ultra narkotyzujący mostek							Ультра наркотизирующая грудина	Ультра наркотизуючий грудина											Ultra Esterno Anestésico					
ThoughtDef&KokuUltraDruggedSternumThought.stages.0.description	THIS IS AWESOME!		DAS IST UNGLAUBLICH!		TO JEST NIESAMOWITE!							ЭТО НУНДИ!	ЦЕ НЕЙМОВІРНО!											ISSO É INCRÍVEL!					
ThoughtDef&KokuMuteJawThought.stages.0.label	Muted with force		Stummgeschaltet		Wyciszony na siłe							Заглушенная челюсть	Примусово затиснутий щелепу											Mandíbula Silenciada à Força					
ThoughtDef&KokuMuteJawThought.stages.0.description	Let me talk :/		Lasst mich reden :/		Dajcie mi mówić :/							Дайте мне говорить :/	Дайте мені говорити :/											Deixem-me falar :/					
TraderKindDef&KokuKkokorosorgansTrader.label	Kkokorosorgans parts trader		Händler von Kkokorosorganen :P		Handlarz częściami Kkokorosorgans :P							Торговец частями Kkokorosorgans :P	Торговець частинами Kkokorosorgans :P											Comerciante de peças Kkokorosorgans :P					
WorkGiverDef&DoBillsOrgansPrinter.label	Print organs																												
WorkGiverDef&DoBillsOrgansPrinter.verb	print		druckt		drukuje							печатает	друкує											imprime					
WorkGiverDef&DoBillsOrgansPrinter.gerund	printing		drucken		drukowaniem							печатью	друкуванням											imprimindo					
WorkGiverDef&DoBillsProstheticPrinter.label	Craft prosthetics																												
WorkGiverDef&DoBillsProstheticPrinter.verb	print		montiert		montuje							монтирует	монтує											monta					
WorkGiverDef&DoBillsProstheticPrinter.gerund	printing		montieren		montowaniem							монтажом	монтуванням											montando					
HediffDef&KokuSimpleHydraulicArm.labelNoun			Hydraulikarm		Hydrauliczne ramię							Гидравлическая рука	Гідравлічна рука											Braço hidráulico					
HediffDef&KokuSimpleHydraulicLeg.labelNoun			Hydraulikbein		Hydrauliczna noga							Гидравлическая нога	Гідравлічна нога											Perna hidráulica					
HediffDef&KokuHydraulicJaw.labelNoun			Hydraulikkiefer		Hydrauliczna szczęka							Гидравлическая челюсть	Гідравлічна щелепа											Mandíbula hidráulica					
HediffDef&KokuArtificialNose.labelNoun			Künstliche Nase		Sztuczny nos							Искусственный нос	Штучний ніс											Nariz artificial					
HediffDef&KokuArtificialEar.labelNoun			Künstliches Ohr		Sztuczne ucho							Искусственное ухо	Штучне вухо											Ouvido artificial					
HediffDef&KokuArtificialEye.labelNoun			Künstliches Auge		Sztuczne oko							Искусственный глаз	Штучне око											Olho artificial					
HediffDef&KokuArtificialBrain.labelNoun			Künstliches Gehirn		Sztuczny mózg							Искусственный мозг	Штучний мозок											Cérebro artificial					
HediffDef&KokuAdvancedBrain.labelNoun			Erweitertes künstliches Gehirn		Zaawansowany sztuczny mózg							Продвинутый искусственный мозг	Складний штучний мозок											Cérebro artificial avançado					
HediffDef&KokuUltraBrain.labelNoun			Ultra erweitertes künstliches Gehirn		Ultra zaawansowany sztuczny mózg							Ультра продвинутый искусственный мозг	Ультра складний штучний мозок											Ultra cérebro artificial avançado					
HediffDef&KokuArtificialLung.labelNoun			Künstliches Lungen		Sztuczne płuco							Искусственное легкое	Штучне легке											Pulmo artificial					
HediffDef&KokuSyntheticLung.labelNoun			Synthetische Lunge		Syntetyczne płuco							Синтетическое легкое	Синтетичне легке											Pulmo sintético					
HediffDef&KokuUltraLung.labelNoun			Ultra Lunge		Ultra płuco							Ультра легкое	Ультра легке											Ultra pulmo					
HediffDef&KokuArtificialStomach.labelNoun			Künstlicher Magen		Sztuczny żołądek							Искусственный желудок	Штучний шлунок											Estômago artificial					
HediffDef&KokuSyntheticStomach.labelNoun			Synthetischer Magen		Syntetyczny żołądek							Синтетический желудок	Синтетичний шлунок											Estômago sintético					
HediffDef&KokuUltraStomach.labelNoun			Ultra Magen		Ultra żołądek							Ультра желудок	Ультра шлунок											Ultra estômago					
HediffDef&KokuArtificialLiver.labelNoun			Künstliche Leber		Sztuczna wątroba							Искусственная печень	Штучна печінка											Fígado artificial					
HediffDef&KokuSyntheticLiver.labelNoun			Synthetische Leber		Syntetyczna wątroba							Синтетическая печень	Синтетична печінка											Fígado sintético					
HediffDef&KokuUltraLiver.labelNoun			Ultra Leber		Ultra wątroba							Ультра печень	Ультра печінка											Ultra fígado					
HediffDef&KokuArtificialKidney.labelNoun			Künstliche Niere		Sztuczna Nerka							Искусственная почка	Штучна нирка											Nefro artificial					
HediffDef&KokuSyntheticKidney.labelNoun			Synthetische Niere		Syntetyczna Nerka							Синтетическая почка	Синтетична нирка											Nefro sintético					
HediffDef&KokuUltraKidney.labelNoun			Ultra Niere		Ultra Nerka							Ультра почка	Ультра нирка											Ultra nefro					
HediffDef&KokuArtificialHeart.labelNoun			Künstliches Herz		Sztuczne Serce							Искусственное сердце	Штучне серце											Coração artificial					
HediffDef&KokuSyntheticHeart.labelNoun			Synthetisches Herz		Syntetyczne Serce							Синтетическое сердце	Синтетичне серце											Coração sintético					
HediffDef&KokuUltraHeart.labelNoun			Ultra Herz		Ultra Serce							Ультра сердце	Ультра серце											Ultra coração					
HediffDef&KokuArtificialSpleen.labelNoun			Künstliche Milz		Sztuczna śledziona							Искусственная селезенка	Штучна селезінка											Bexiga artificial					
HediffDef&KokuSyntheticSpleen.labelNoun			Synthetische Milz		Syntetyczna śledziona							Синтетическая селезенка	Синтетична селезінка											Bexiga sintética					
HediffDef&KokuUltraSpleen.labelNoun			Ultra Milz		Ultra śledziona							Ультра селезенка	Ультра селезінка											Ultra bexiga					
HediffDef&KokuArtificialPancreas.labelNoun			Künstliche Bauchspeicheldrüse		Sztuczna trzustka							Искусственная поджелудочная железа	Штучна підшлункова залоза											Pâncreas artificial					
